l,xi,xmax
-4.0,3.1,0.999551
-4.0,3.0,0.999551
-4.0,2.9,0.999551
-4.0,2.8,0.999551
-4.0,2.7,0.999551
-4.0,2.6,0.999551
-4.0,2.5,0.999551
-4.0,2.4,0.999551
-4.0,2.3,0.99955
-4.0,2.2,0.99955
-4.0,2.1,0.99955
-4.0,2.0,0.99955
-4.0,1.9,0.99955
-4.0,1.8,0.999549
-4.0,1.7,0.999549
-4.0,1.6,0.999548
-4.0,1.5,0.999547
-4.0,1.4,0.999546
-4.0,1.3,0.999545
-4.0,1.2,0.999544
-4.0,1.1,0.999542
-4.0,1.0,0.999539
-4.0,0.9,0.999536
-4.0,0.8,0.999532
-4.0,0.7,0.999528
-4.0,0.6,0.999522
-4.0,0.5,0.999514
-4.0,0.4,0.999504
-4.0,0.3,0.999492
-4.0,0.2,0.999477
-4.0,0.1,0.999458
-4.0,0.0,0.999433
-4.0,-0.1,0.999403
-4.0,-0.2,0.999365
-4.0,-0.3,0.999316
-4.0,-0.4,0.999255
-4.0,-0.5,0.999179
-4.0,-0.6,0.999083
-4.0,-0.7,0.998961
-4.0,-0.8,0.998808
-4.0,-0.9,0.998616
-4.0,-1.0,0.998374
-4.0,-1.1,0.998069
-4.0,-1.2,0.997685
-4.0,-1.3,0.997202
-4.0,-1.4,0.996594
-4.0,-1.5,0.995828
-4.0,-1.6,0.994864
-4.0,-1.7,0.99365
-4.0,-1.8,0.992122
-4.0,-1.9,0.990199
-4.0,-2.0,0.987777
-4.0,-2.1,0.984729
-4.0,-2.2,0.980891
-4.0,-2.3,0.976059
-4.0,-2.4,0.969977
-4.0,-2.5,0.962319
-4.0,-2.6,0.952679
-4.0,-2.7,0.940542
-4.0,-2.8,0.925263
-4.0,-2.9,0.906028
-4.0,-3.0,0.881813
-4.0,-3.1,0.851327
-4.0,-3.2,0.812948
-4.0,-3.3,0.764632
-4.0,-3.4,0.703805
-4.0,-3.5,0.627229
-4.0,-3.6,0.530825
-4.0,-3.7,0.40946
-4.0,-3.8,0.256671
-4.0,-3.9,0.06432
-4.0,-4.0,0.0
-4.0,-4.1,0.0
-4.0,-4.2,0.0
